 ,Area,Mean,Min,Max
1,159,255,255,255
2,106,255,255,255
3,521,255,255,255
4,158,255,255,255
5,413,255,255,255
6,114,255,255,255
7,167,255,255,255
8,56,255,255,255
9,90,255,255,255
10,227,255,255,255
11,430,255,255,255
12,96,255,255,255
13,683,255,255,255
14,58,255,255,255
15,67,255,255,255
16,76,255,255,255
17,184,255,255,255
18,341,255,255,255
19,62,255,255,255
20,51,255,255,255
21,95,255,255,255
22,1063,255,255,255
23,1059,255,255,255
24,95,255,255,255
25,361,255,255,255
26,320,255,255,255
27,235,255,255,255
28,315,255,255,255
29,70,255,255,255
30,240,255,255,255
31,56,255,255,255
32,894,255,255,255
33,360,255,255,255
34,237,255,255,255
35,71,255,255,255
36,279,255,255,255
37,280,255,255,255
38,793,255,255,255
39,150,255,255,255
40,98,255,255,255
41,62,255,255,255
42,110,255,255,255
43,57,255,255,255
44,157,255,255,255
45,152,255,255,255
46,65,255,255,255
47,957,255,255,255
48,149,255,255,255
49,828,255,255,255
50,115,255,255,255
51,248,255,255,255
52,68,255,255,255
53,105,255,255,255
54,79,255,255,255
55,117,255,255,255
56,52,255,255,255
57,119,255,255,255
58,56,255,255,255
59,486,255,255,255
60,76,255,255,255
61,88,255,255,255
62,69,255,255,255
63,236,255,255,255
64,50,255,255,255
65,89,255,255,255
66,256,255,255,255
67,809,255,255,255
68,143,255,255,255
69,52,255,255,255
70,555,255,255,255
71,97,255,255,255
72,100,255,255,255
73,106,255,255,255
74,81,255,255,255
75,158,255,255,255
76,129,255,255,255
77,103,255,255,255
78,105,255,255,255
79,134,255,255,255
80,56,255,255,255
81,84,255,255,255
82,80,255,255,255
83,155,255,255,255
84,73,255,255,255
85,180,255,255,255
86,124,255,255,255
87,131,255,255,255
88,275,255,255,255
89,100,255,255,255
90,117,255,255,255
91,119,255,255,255
92,68,255,255,255
93,128,255,255,255
94,59,255,255,255
95,62,255,255,255
96,180,255,255,255
97,96,255,255,255
98,74,255,255,255
99,602,255,255,255
100,144,255,255,255
101,265,255,255,255
102,78,255,255,255
103,156,255,255,255
104,75,255,255,255
105,99,255,255,255
106,71,255,255,255
107,63,255,255,255
108,102,255,255,255
109,55,255,255,255
110,91,255,255,255
111,96,255,255,255
112,67,255,255,255
113,453,255,255,255
114,64,255,255,255
115,107,255,255,255
116,204,255,255,255
117,276,255,255,255
118,55,255,255,255
119,509,255,255,255
120,85,255,255,255
121,85,255,255,255
122,329,255,255,255
123,762,255,255,255
124,160,255,255,255
125,80,255,255,255
126,80,255,255,255
127,447,255,255,255
128,174,255,255,255
129,88,255,255,255
130,332,255,255,255
131,116,255,255,255
132,59,255,255,255
133,52,255,255,255
134,58,255,255,255
135,136,255,255,255
136,80,255,255,255
137,317,255,255,255
138,169,255,255,255
139,97,255,255,255
140,142,255,255,255
141,114,255,255,255
142,184,255,255,255
143,164,255,255,255
144,98,255,255,255
145,89,255,255,255
146,53,255,255,255
147,64,255,255,255
